Formation 1: Big Circle,,,,,,,,,"Formation 2: 1-15 on 5m circle, 16-26 on 3m circle
16-25 on 3m circle",,,,,,,
ID,angle,x,y,CF_x,CF_y,Form_x,Form_y,,ID,angle,x,y,CF_x,CF_y,F_x,F_y
1,0.00,0.00,2.50,2.50,0.00,0.00,0.00,,1,0.00,0.00,2.50,2.50,0.00,0.00,0.00
2,-14.40,-0.62,2.42,2.42,0.62,-0.08,0.62,,2,-24.00,-1.02,2.28,2.28,1.02,-0.22,1.02
3,-28.80,-1.20,2.19,2.19,1.20,-0.31,1.20,,3,-48.00,-1.86,1.67,1.67,1.86,-0.83,1.86
4,-43.20,-1.71,1.82,1.82,1.71,-0.68,1.71,,4,-72.00,-2.38,0.77,0.77,2.38,-1.73,2.38
5,-57.60,-2.11,1.34,1.34,2.11,-1.16,2.11,,5,-96.00,-2.49,-0.26,-0.26,2.49,-2.76,2.49
6,-72.00,-2.38,0.77,0.77,2.38,-1.73,2.38,,6,-120.00,-2.17,-1.25,-1.25,2.17,-3.75,2.17
7,-86.40,-2.50,0.16,0.16,2.50,-2.34,2.50,,7,-144.00,-1.47,-2.02,-2.02,1.47,-4.52,1.47
8,-100.80,-2.46,-0.47,-0.47,2.46,-2.97,2.46,,8,-168.00,-0.52,-2.45,-2.45,0.52,-4.95,0.52
9,-115.20,-2.26,-1.06,-1.06,2.26,-3.56,2.26,,9,-192.00,0.52,-2.45,-2.45,-0.52,-4.95,-0.52
10,-129.60,-1.93,-1.59,-1.59,1.93,-4.09,1.93,,10,-216.00,1.47,-2.02,-2.02,-1.47,-4.52,-1.47
11,-144.00,-1.47,-2.02,-2.02,1.47,-4.52,1.47,,11,-240.00,2.17,-1.25,-1.25,-2.17,-3.75,-2.17
12,-158.40,-0.92,-2.32,-2.32,0.92,-4.82,0.92,,12,-264.00,2.49,-0.26,-0.26,-2.49,-2.76,-2.49
13,-172.80,-0.31,-2.48,-2.48,0.31,-4.98,0.31,,13,-288.00,2.38,0.77,0.77,-2.38,-1.73,-2.38
14,-187.20,0.31,-2.48,-2.48,-0.31,-4.98,-0.31,,14,-312.00,1.86,1.67,1.67,-1.86,-0.83,-1.86
15,-201.60,0.92,-2.32,-2.32,-0.92,-4.82,-0.92,,15,-336.00,1.02,2.28,2.28,-1.02,-0.22,-1.02
16,-216.00,1.47,-2.02,-2.02,-1.47,-4.52,-1.47,,16,0.00,0.00,1.50,1.50,0.00,-1.00,0.00
17,-230.40,1.93,-1.59,-1.59,-1.93,-4.09,-1.93,,17,-36.00,-0.88,1.21,1.21,0.88,-1.29,0.88
18,-244.80,2.26,-1.06,-1.06,-2.26,-3.56,-2.26,,18,-72.00,-1.43,0.46,0.46,1.43,-2.04,1.43
19,-259.20,2.46,-0.47,-0.47,-2.46,-2.97,-2.46,,19,-108.00,-1.43,-0.46,-0.46,1.43,-2.96,1.43
20,-273.60,2.50,0.16,0.16,-2.50,-2.34,-2.50,,20,-144.00,-0.88,-1.21,-1.21,0.88,-3.71,0.88
21,-288.00,2.38,0.77,0.77,-2.38,-1.73,-2.38,,21,-180.00,0.00,-1.50,-1.50,0.00,-4.00,0.00
22,-302.40,2.11,1.34,1.34,-2.11,-1.16,-2.11,,22,-216.00,0.88,-1.21,-1.21,-0.88,-3.71,-0.88
23,-316.80,1.71,1.82,1.82,-1.71,-0.68,-1.71,,23,-252.00,1.43,-0.46,-0.46,-1.43,-2.96,-1.43
24,-331.20,1.20,2.19,2.19,-1.20,-0.31,-1.20,,24,-288.00,1.43,0.46,0.46,-1.43,-2.04,-1.43
25,-345.60,0.62,2.42,2.42,-0.62,-0.08,-0.62,,25,-324.00,0.88,1.21,1.21,-0.88,-1.29,-0.88
