ID,x,y,z,Formation,Wall
1,4.6043,-5.42575,1,0,0
2,5.52184,-5.2119,0.853108,0,0
3,6.40636,-5.16645,0.828348,0,0
4,7.76596,-5.29132,0.89011,0,0
5,9.60476,-5.40154,0.952598,0,0
6,10.9996,-5.48514,1,0,0
7,11.3089,-5.90822,1.14433,0,1
8,12.6002,-5.88132,1.96341,0,1
9,14.3541,-5.84394,2.30888,0,1
10,15.514,-5.52474,2.8,0,1
11,15.6425,-5.2428,1.32899,0,1
12,16.6228,-5.56434,1,0,1
13,17.5678,-6.33064,1.26781,1,0
14,18.3261,-6.29266,0.949332,1,0
15,20.1,-6.4198,0.824537,1,0
16,21.7545,-6.36228,1.13143,1,0
17,22.9042,-6.55929,1.2335,1,0
18,23.7418,-6.44151,1.27538,1,0
19,24.8135,-6.97533,1.06159,1,0
20,26.3032,-6.2515,1.04137,1,0
21,28.0127,-6.87979,1.26123,1,0
22,28.958,-5.78214,1,1,0
23,29.6183,-5.8074,0.705619,1,0
24,31.0031,-6.67653,0.756468,1,0
25,31.7562,-7.37608,1.1067,1,0
26,33.2454,-7.99793,1,1,0
27,33.2447,-9.61849,0.835638,1,0
28,33.1671,-11.2692,1.11498,1,0
29,32.6719,-12.4135,1.21765,1,0
30,32.8461,-14.1294,1,1,0
31,31.1115,-14.4985,0.828452,1,0
32,29.2107,-14.7126,0.896039,1,0
33,28.0873,-14.9512,0.829854,1,0
34,26.2869,-15.0419,1,1,0
35,25.282,-14.8771,0.796182,1,0
36,23.5957,-14.985,0.883109,1,0
37,22.1632,-14.3176,0.977624,1,0
38,20.8399,-14.2434,1,1,0
39,19.0749,-14.2343,1.05892,1,0
40,17.4672,-14.4681,1.04215,1,0
41,16.5785,-14.9455,0.821148,1,0
42,14.9651,-14.6427,1,1,0
43,13.5854,-15.0029,1.08661,1,0
44,11.7965,-14.8314,1.29319,1,0
45,10.2547,-14.438,1.24917,1,0
46,8.63408,-14.5571,1,1,0
47,7.20587,-14.6488,0.781737,1,0
48,5.5413,-14.6164,0.701676,1,0
49,4.78411,-14.5571,1,0,0
